representation,method,regime,seed,budget,split,trees,n,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,error_rate,ece,brier,auroc,auprc
galileo,source_only,none,42,0,target_val,500,2751,0.7117805755395683,0.9753542821934689,0.8229789446321809,0.7035459354229756,487,641,40,1583,0.247546346782988,0.12921210978603578,0.18324154579707774,0.8148840034434088,0.8165623111226561
galileo,coral,none,42,0,target_val,500,2751,0.6825817860300619,0.9513247073321011,0.7948519948519949,0.6573999423185328,410,718,79,1544,0.2897128316975645,0.1485633971584398,0.18867915922187845,0.8166029767132925,0.8228106678411196
galileo,importance,none,42,0,target_val,500,2751,0.7202543142597638,0.9772027110289587,0.829281045751634,0.7155517101244084,512,616,37,1586,0.23736822973464194,0.1334510332538455,0.18042034962188908,0.8122812364809061,0.8140172660166551
galileo,pseudo_label,none,42,0,target_val,500,2751,0.6725738396624472,0.982131854590265,0.7983971950914099,0.6470942960894588,352,776,29,1594,0.2926208651399491,0.1998014745601494,0.2022894711308176,0.8300677211013665,0.8353481231251104
galileo,target_full,none,42,9249,target_val,500,2751,0.8573127229488704,0.8884781269254467,0.8726172465960665,0.837856084739319,888,240,181,1442,0.1530352599054889,0.04405644987434451,0.10943241229732469,0.9191301459952894,0.9326314715190792
galileo,source_only,none,43,0,target_val,500,2751,0.7125451263537906,0.9728897104128158,0.8226100547017452,0.7040866991780391,491,637,44,1579,0.247546346782988,0.13438447135561277,0.18383824013643646,0.8182684198336851,0.8252920750015011
galileo,coral,none,43,0,target_val,500,2751,0.6911764705882353,0.955637707948244,0.8021722265321956,0.6706380029102922,435,693,72,1551,0.2780806979280262,0.14848725229246812,0.1873251553342701,0.8196555607993252,0.8329801777260913
galileo,importance,none,43,0,target_val,500,2751,0.7205279927173418,0.9753542821934689,0.8287958115183246,0.7155140205293585,514,614,40,1583,0.23773173391494,0.1284097367767983,0.18022801944131978,0.8115471087164562,0.8142256456321844
galileo,pseudo_label,none,43,0,target_val,500,2751,0.6705931846865797,0.982131854590265,0.797,0.6439914592100261,345,783,29,1594,0.2951653944020356,0.19926322722693135,0.2016414314353332,0.83245117831876,0.8392340125267793
galileo,target_full,none,43,9249,target_val,500,2751,0.8548387096774194,0.8817005545286506,0.8680618744313012,0.8331375113068784,885,243,192,1431,0.15812431842966193,0.04214731865325844,0.10971435322981002,0.91873959439441,0.9321379557539017
galileo,source_only,none,44,0,target_val,500,2751,0.7074041034790366,0.9772027110289587,0.8206985769728331,0.6978212136705078,472,656,37,1586,0.25190839694656486,0.13768939459130142,0.18617097597418175,0.8148233723557198,0.8222755680387583
galileo,coral,none,44,0,target_val,500,2751,0.6871111111111111,0.9525569932224276,0.7983475342112057,0.6642217590225613,424,704,77,1546,0.28389676481279535,0.14686532162042398,0.18843238142958701,0.8161009950053094,0.822463595459106
galileo,importance,none,44,0,target_val,500,2751,0.7216916780354706,0.977818853974122,0.8304552590266876,0.7176328312423802,516,612,36,1587,0.23555070883315157,0.12847226768236103,0.17889006494926046,0.8155506722949795,0.8174655770396388
galileo,pseudo_label,none,44,0,target_val,500,2751,0.6731418918918919,0.982131854590265,0.7987972939113004,0.6479808209121538,354,774,29,1594,0.291893856779353,0.2014932543531542,0.20178330309762052,0.8329119199625945,0.8338036954014295
galileo,target_full,none,44,9249,target_val,500,2751,0.8539057841383423,0.8823166974738139,0.8678787878787879,0.8325590579567651,883,245,191,1432,0.15848782260996003,0.04137309226898452,0.10973079542396054,0.9188215282966925,0.9332204361092804
galileo,source_only,none,45,0,target_val,500,2751,0.7080911935628074,0.9759704251386322,0.8207253886010363,0.6985348579593871,475,653,39,1584,0.2515448927662668,0.13805529225363852,0.18402319845292375,0.8192259540383582,0.8230944841200072
galileo,coral,none,45,0,target_val,500,2751,0.6870567375886525,0.9550215650030807,0.7991750451147203,0.6645675200901928,422,706,73,1550,0.2831697564521992,0.14783277735642217,0.18896470580818256,0.8151972640631349,0.8256615984823802
galileo,importance,none,45,0,target_val,500,2751,0.7222222222222222,0.9772027110289587,0.8305839224927991,0.7182112845924935,518,610,37,1586,0.2351872046528535,0.13233520839351243,0.17701294829764186,0.822571042155539,0.8255584896992512
galileo,pseudo_label,none,45,0,target_val,500,2751,0.6697401508801342,0.984596426370918,0.7972062858568222,0.6430074330436151,340,788,25,1598,0.2955288985823337,0.2043807168289581,0.20445495349265255,0.8313770248598383,0.8373660035398145
galileo,target_full,none,45,9249,target_val,500,2751,0.8554360812425329,0.8823166974738139,0.8686684865028814,0.8338888451908077,886,242,191,1432,0.1573973100690658,0.042692163934074566,0.10954902925003968,0.9191902308569629,0.932589900860303
galileo,source_only,none,46,0,target_val,500,2751,0.7121621621621622,0.9741219963031423,0.8227946916471507,0.7038163173005073,489,639,42,1581,0.247546346782988,0.13654141783847487,0.18524804067595688,0.817903540855521,0.8239709514012286
galileo,coral,none,46,0,target_val,500,2751,0.6913470115967886,0.9550215650030807,0.8020698576972833,0.6707731938490581,436,692,73,1550,0.2780806979280262,0.14272674029031895,0.18716436720277252,0.8165707493783947,0.8229941203169835
galileo,importance,none,46,0,target_val,500,2751,0.7218934911242604,0.9772027110289587,0.8303664921465969,0.717768022181146,517,611,37,1586,0.23555070883315157,0.13145271843306838,0.18119684238978562,0.8126750654378767,0.814682035252493
galileo,pseudo_label,none,46,0,target_val,500,2751,0.6730038022813688,0.9815157116451017,0.7984962406015037,0.6476727494395721,354,774,30,1593,0.29225736095965105,0.20022878686838713,0.2011546165094152,0.8345891069423141,0.8395284568626463
galileo,target_full,none,46,9249,target_val,500,2751,0.8513432835820895,0.8786198398028343,0.8647665251667678,0.8289375794758853,879,249,197,1426,0.16212286441294074,0.043803261072567,0.11010156267003564,0.9182518145628226,0.9319355831559667
