representation,score,quantile,n,score_mean,error_rate
presto_primary,confidence,3,275,0.15839401384546978,0.1781818181818182
presto_primary,confidence,4,275,0.18621613457307895,0.14181818181818182
presto_primary,confidence,5,275,0.21152295374197025,0.13454545454545455
presto_primary,confidence,6,275,0.2377933224831033,0.15636363636363637
presto_primary,confidence,7,274,0.2687879497040549,0.2116788321167883
presto_primary,confidence,8,276,0.3176611340949943,0.286231884057971
presto_primary,confidence,9,275,0.38701971255640955,0.39636363636363636
presto_primary,confidence,10,275,0.4627516113361293,0.4036363636363636
presto_primary,margin,1,276,0.15520760004386522,0.18115942028985507
presto_primary,margin,2,275,0.25315026214506714,0.1781818181818182
presto_primary,margin,3,275,0.31678802769093956,0.1781818181818182
presto_primary,margin,4,275,0.37243226914615785,0.14181818181818182
presto_primary,margin,5,275,0.4230459074839405,0.13454545454545455
presto_primary,margin,6,275,0.4755866449662066,0.15636363636363637
presto_primary,margin,7,274,0.5375758994081098,0.2116788321167883
presto_primary,margin,8,276,0.6353222681899886,0.286231884057971
presto_primary,margin,9,275,0.7740394251128191,0.39636363636363636
presto_primary,margin,10,275,0.9255032226722586,0.4036363636363636
presto_primary,vote_uncertainty,1,283,0.08452296819787984,0.21554770318021202
presto_primary,vote_uncertainty,2,270,0.13734074074074076,0.15185185185185185
presto_primary,vote_uncertainty,3,280,0.1678357142857143,0.15714285714285714
presto_primary,vote_uncertainty,4,275,0.19532363636363634,0.12363636363636364
presto_primary,vote_uncertainty,5,284,0.22078873239436617,0.11619718309859155
presto_primary,vote_uncertainty,6,263,0.24695057034220536,0.1482889733840304
presto_primary,vote_uncertainty,7,277,0.2813357400722022,0.26353790613718414
presto_primary,vote_uncertainty,8,274,0.33151824817518255,0.28832116788321166
presto_primary,vote_uncertainty,9,276,0.3918913043478261,0.34782608695652173
presto_primary,vote_uncertainty,10,269,0.4594869888475836,0.46096654275092935
presto_primary,tree_variance,1,276,0.05975786818576292,0.17028985507246377
presto_primary,tree_variance,2,275,0.09260408638249513,0.19272727272727272
presto_primary,tree_variance,3,275,0.11229521919378369,0.16
presto_primary,tree_variance,4,275,0.12774765061893306,0.14545454545454545
presto_primary,tree_variance,5,275,0.13951790776585932,0.14181818181818182
presto_primary,tree_variance,6,275,0.15138327641211777,0.14909090909090908
presto_primary,tree_variance,7,275,0.16435734704253718,0.1781818181818182
presto_primary,tree_variance,8,275,0.1812951461484489,0.33090909090909093
presto_primary,tree_variance,9,275,0.199227601093988,0.38181818181818183
presto_primary,tree_variance,10,275,0.21127260530352815,0.41818181818181815
presto_primary,domain_probability,1,276,0.897080722537844,0.36594202898550726
presto_primary,domain_probability,2,275,0.9694662975560938,0.2690909090909091
presto_primary,domain_probability,3,275,0.9830395598232045,0.2545454545454545
presto_primary,domain_probability,4,284,0.990484890437707,0.2887323943661972
presto_primary,domain_probability,5,368,0.9952188561712786,0.2608695652173913
presto_primary,domain_probability,6,176,0.996911670296848,0.1534090909090909
presto_primary,domain_probability,7,1097,0.9998545897395404,0.15861440291704648
galileo,euclidean_nn,1,276,4.43354662777721,0.2717391304347826
galileo,euclidean_nn,2,275,4.960803702961315,0.3090909090909091
galileo,euclidean_nn,3,275,5.250433774427934,0.2690909090909091
galileo,euclidean_nn,4,275,5.54715762571855,0.28
galileo,euclidean_nn,5,275,5.807534438046542,0.26181818181818184
galileo,euclidean_nn,6,275,6.0855120381441985,0.24363636363636362
galileo,euclidean_nn,7,275,6.398724009773948,0.20727272727272728
galileo,euclidean_nn,8,275,6.903832865628329,0.2509090909090909
galileo,euclidean_nn,9,275,8.691671706112949,0.2872727272727273
galileo,euclidean_nn,10,275,11.20519961270419,0.09454545454545454
galileo,cosine_nn,1,276,0.0011372203007340431,0.29347826086956524
galileo,cosine_nn,2,275,0.0014405623078346252,0.2872727272727273
galileo,cosine_nn,3,275,0.0016315850662067533,0.23636363636363636
galileo,cosine_nn,4,275,0.0018187157111242414,0.28
galileo,cosine_nn,5,275,0.0019998059142380953,0.2
galileo,cosine_nn,6,275,0.0022107691038399935,0.29454545454545455
galileo,cosine_nn,7,275,0.00248053134419024,0.23272727272727273
galileo,cosine_nn,8,275,0.0028903461061418056,0.26545454545454544
galileo,cosine_nn,9,275,0.004289464093744755,0.24
galileo,cosine_nn,10,275,0.0073789795860648155,0.14545454545454545
galileo,cosine_knn,1,276,0.0015405492158606648,0.2572463768115942
galileo,cosine_knn,2,275,0.001867888611741364,0.24
galileo,cosine_knn,3,275,0.002108609536662698,0.2581818181818182
galileo,cosine_knn,4,275,0.002312391297891736,0.22545454545454546
galileo,cosine_knn,5,275,0.0025283992290496826,0.24727272727272728
galileo,cosine_knn,6,275,0.00277151633054018,0.2290909090909091
galileo,cosine_knn,7,274,0.0030632629059255123,0.26277372262773724
galileo,cosine_knn,8,276,0.003552798181772232,0.35144927536231885
galileo,cosine_knn,9,275,0.0055869086645543575,0.27636363636363637
galileo,cosine_knn,10,275,0.009658940136432648,0.12727272727272726
