requested_coverage,n_accepted,coverage,risk,accuracy,f1_expected_counts,representation,score
0.8,2201,0.8000727008360596,0.1938629294376682,0.8061370705623319,0.8703032570319623,galileo,vote_uncertainty
0.9,2476,0.9000363504180298,0.21082390953150243,0.7891760904684976,0.8532058492688414,galileo,vote_uncertainty
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,vote_uncertainty
0.5,1376,0.500181752090149,0.1751453488372093,0.8248546511627907,0.9031739654479711,galileo,tree_variance
0.7,1926,0.7001090512540894,0.19885773624091382,0.8011422637590861,0.8782193958664547,galileo,tree_variance
0.8,2201,0.8000727008360596,0.21172194457064972,0.7882780554293503,0.8630217519106408,galileo,tree_variance
0.9,2476,0.9000363504180298,0.22495961227786754,0.7750403877221325,0.8454066056064391,galileo,tree_variance
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,tree_variance
0.5,1376,0.500181752090149,0.3066860465116279,0.6933139534883721,0.7963320463320464,galileo,domain_probability
0.7,1926,0.7001090512540894,0.2866043613707165,0.7133956386292835,0.8089965397923875,galileo,domain_probability
0.8,2201,0.8000727008360596,0.2719014714503937,0.7280985285496063,0.8162345446175472,galileo,domain_probability
0.9,2476,0.9000363504180298,0.25837139310628365,0.7416286068937163,0.819887004819358,galileo,domain_probability
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,domain_probability
