representation,score,pool_quantile,actual_coverage,n,risk,f1
galileo,euclidean_nn,1.0,1.0,2751,0.247546346782988,0.8229789446321809
galileo,cosine_nn,0.5,0.5136314067611778,1413,0.25831564048124556,0.8439504061564771
galileo,cosine_nn,0.7,0.7484551072337332,2059,0.259834871296746,0.8415753627480012
galileo,cosine_nn,0.8,0.8204289349327517,2257,0.26362428001772265,0.8389715832205683
galileo,cosine_nn,0.9,0.9051254089422028,2490,0.25783132530120484,0.8313189700472937
galileo,cosine_nn,1.0,1.0,2751,0.247546346782988,0.8229789446321809
galileo,cosine_knn,0.5,0.5292620865139949,1456,0.24519230769230768,0.8531468531468531
galileo,cosine_knn,0.7,0.7531806615776081,2072,0.2533783783783784,0.8468047855266997
galileo,cosine_knn,0.8,0.8233369683751364,2265,0.26225165562913905,0.839546191247974
galileo,cosine_knn,0.9,0.8865866957470011,2439,0.2644526445264453,0.8307530831802676
galileo,cosine_knn,1.0,1.0,2751,0.247546346782988,0.8229789446321809
galileo,mahalanobis,0.5,0.46964740094511087,1292,0.3188854489164087,0.7954319761668321
